"rm";"pausada";"data_pausa"
14933;"1";2017-04-03 10:25:05
14933;"0";2017-08-04 12:00:56
14940;"0";2017-09-11 17:32:09
14943;"0";2017-09-11 17:33:23
14944;"0";2017-03-06 14:03:08
14946;"0";2017-09-11 17:33:59
14947;"0";2018-04-02 15:58:16
14960;"0";2017-03-01 00:00:00
14960;"1";2017-04-03 10:18:43
14960;"0";2018-01-16 17:07:16
14962;"0";2017-03-06 09:06:44
14968;"0";2017-03-01 00:00:00
14968;"1";2017-03-30 13:59:29
14970;"1";2017-03-16 14:33:06
14973;"0";2017-03-01 00:00:00
14977;"0";2017-03-01 00:00:00
14980;"0";2017-03-07 09:40:18
14981;"0";2017-03-03 16:32:57
14981;"1";2017-03-30 13:59:18
14981;"0";2017-05-25 09:20:20
14982;"0";2017-03-07 09:24:32
14984;"0";2017-03-01 00:00:00
14986;"1";2017-03-01 00:00:00
14991;"0";2017-03-01 00:00:00
14992;"0";2017-03-16 11:15:45
14996;"0";2017-08-18 15:04:02
14998;"0";2017-03-01 00:00:00
14999;"0";2017-03-01 00:00:00
15000;"0";2017-03-01 00:00:00
15001;"0";2017-03-01 00:00:00
15043;"1";2017-03-28 15:22:24
15043;"0";2017-05-02 16:11:08
15117;"1";2017-06-12 09:48:24
15126;"1";2017-03-07 09:23:32
15126;"0";2017-03-27 15:08:04
15136;"1";2017-03-30 13:59:02
15136;"0";2017-06-22 09:40:44
15160;"1";2017-06-08 11:01:20
15162;"1";2017-05-02 10:04:15
15162;"0";2017-06-13 09:11:08
15167;"1";2017-03-27 16:50:20
15167;"0";2017-05-11 09:49:33
15324;"1";2017-04-11 10:47:18
15324;"0";2017-06-13 09:12:41
15324;"1";2017-08-04 11:53:59
15390;"1";2017-04-11 11:41:24
15397;"1";2017-04-19 11:00:02
15397;"0";2017-05-12 15:27:45
15397;"1";2017-05-16 14:27:33
15397;"0";2017-06-13 09:09:51
15397;"1";2017-08-04 11:54:55
15411;"1";2017-05-15 16:05:12
15419;"1";2017-04-11 10:46:54
15431;"1";2017-04-11 13:33:12
15449;"1";2017-04-18 14:24:05
15449;"0";2017-05-17 11:44:22
15473;"1";2017-05-02 14:32:09
15473;"0";2017-05-10 16:31:00
15581;"1";2017-05-03 07:57:15
15623;"1";2017-05-08 10:27:28
15623;"0";2017-05-15 11:30:21
15645;"1";2017-05-03 09:21:18
15658;"1";2017-05-12 16:52:08
15658;"0";2017-08-01 16:02:54
15659;"1";2017-05-12 16:51:53
15661;"1";2017-05-12 16:51:25
15679;"1";2017-05-11 16:35:34
15679;"0";2017-05-15 14:57:50
15688;"1";2017-06-20 15:56:48
15688;"0";2017-06-22 15:10:28
15694;"1";2017-05-12 09:17:20
15694;"0";2017-05-16 14:50:13
15763;"1";2017-05-08 10:02:46
